Month,DayOfWeek,DepHour,IsWeekend,Distance,IsDelayed,Airline_Encoded,Origin_Encoded
4,3,14,0,575.0,0,5,5
2,3,8,0,680.0,0,1,27
2,2,19,0,227.0,0,8,6
5,5,16,1,436.0,0,18,23
7,5,14,1,814.0,0,5,23
4,2,12,0,949.0,0,9,23
7,6,13,1,1142.0,0,18,18
5,1,16,0,409.0,1,7,9
5,5,5,1,500.0,0,17,23
7,6,16,1,1188.0,0,10,8
2,7,16,1,295.0,0,9,8
2,3,8,0,430.0,0,3,23
5,7,7,1,1824.0,0,19,23
4,1,16,0,756.0,0,18,1
7,4,8,0,227.0,0,8,6
4,1,11,0,944.0,1,14,18
7,3,13,0,543.0,0,18,23
7,6,10,1,100.0,0,6,23
7,7,15,1,255.0,0,17,21
4,3,11,0,189.0,0,18,1
7,3,6,0,1372.0,0,20,10
2,7,20,1,234.0,0,1,23
4,5,10,1,936.0,0,3,8
5,5,10,1,762.0,0,7,0
7,5,13,1,1640.0,0,7,23
4,7,10,1,833.0,0,16,23
2,3,22,0,102.0,0,9,8
2,4,22,0,185.0,0,16,5
4,5,15,1,1306.0,0,7,30
2,5,7,1,645.0,0,11,10
5,1,12,0,1020.0,1,7,17
4,1,9,0,370.0,0,3,25
4,6,20,1,931.0,0,7,21
4,1,16,0,820.0,0,16,10
4,6,10,1,528.0,0,17,22
2,1,7,0,190.0,0,3,8
7,6,9,1,930.0,0,18,23
4,1,12,0,581.0,0,7,0
2,2,12,0,601.0,0,17,23
7,5,21,1,369.0,0,18,23
5,1,10,0,846.0,0,17,8
7,1,10,0,1020.0,0,7,21
5,5,17,1,1297.0,0,3,12
7,1,19,0,431.0,1,3,17
5,4,18,0,533.0,0,18,23
4,1,6,0,862.0,0,17,7
2,2,12,0,1107.0,0,1,25
4,5,13,1,214.0,0,7,2
7,2,15,0,2133.0,1,3,25
7,5,19,1,249.0,0,18,23
4,3,21,0,1011.0,1,10,18
4,5,11,1,813.0,0,7,1
5,5,19,1,1488.0,1,18,25
5,4,12,0,1315.0,0,18,1
5,1,19,0,1185.0,0,7,30
4,3,19,0,1728.0,0,18,26
2,2,15,0,224.0,0,1,23
4,3,20,0,1005.0,1,14,14
7,7,6,1,1089.0,0,3,14
4,5,11,1,600.0,0,3,23
5,3,23,0,2500.0,0,20,23
5,7,17,1,990.0,0,18,18
7,7,9,1,2349.0,0,12,23
4,6,7,1,874.0,0,7,23
7,7,18,1,541.0,1,3,14
2,4,15,0,163.0,0,12,23
2,7,7,1,130.0,1,3,23
4,7,18,1,2086.0,0,1,23
2,2,13,0,920.0,0,18,24
5,4,10,0,689.0,1,7,0
2,1,6,0,199.0,0,11,6
7,1,8,0,807.0,0,17,28
4,3,14,0,370.0,0,17,25
7,4,11,0,1316.0,0,3,8
7,5,16,1,641.0,0,3,8
7,6,8,1,792.0,1,6,23
7,1,21,0,1009.0,1,18,23
4,2,12,0,441.0,0,16,12
2,4,10,0,1620.0,1,20,7
7,2,7,0,575.0,1,3,5
4,5,10,1,969.0,0,16,6
7,1,21,0,1142.0,1,7,21
4,7,14,1,787.0,0,18,4
2,6,16,1,431.0,0,3,23
7,6,7,1,2554.0,0,1,18
4,3,20,0,2465.0,1,14,23
7,2,6,0,304.0,0,7,23
7,2,21,0,175.0,0,17,29
7,4,10,0,990.0,0,18,19
5,5,8,1,882.0,1,18,18
2,2,14,0,834.0,0,19,18
2,3,17,0,728.0,0,3,5
7,6,13,1,2556.0,0,3,16
7,4,15,0,912.0,0,15,5
5,1,6,0,746.0,1,19,0
7,7,6,1,990.0,0,9,23
7,7,20,1,332.0,1,7,0
4,4,8,0,476.0,0,4,23
2,3,6,0,992.0,0,3,11
2,6,19,1,1554.0,1,14,23
4,5,22,1,425.0,1,7,0
4,7,14,1,1167.0,1,20,10
7,2,14,0,1032.0,0,14,30
4,3,6,0,319.0,1,16,10
4,1,14,0,372.0,0,0,23
7,5,19,1,1127.0,0,19,9
7,5,16,1,545.0,0,18,0
2,2,13,0,1259.0,0,18,29
7,1,12,0,277.0,0,18,23
4,5,18,1,119.0,0,17,23
4,4,8,0,296.0,0,17,22
4,2,20,0,272.0,1,18,23
5,4,12,0,361.0,1,3,4
4,1,18,0,404.0,0,7,18
5,2,17,0,221.0,0,17,29
7,5,14,1,191.0,0,15,23
4,6,17,1,326.0,0,15,12
2,1,14,0,153.0,0,7,0
2,2,19,0,2402.0,0,1,10
5,5,9,1,1449.0,0,20,7
5,6,7,1,684.0,0,19,18
2,4,10,0,1053.0,0,10,23
2,4,14,0,718.0,0,8,14
7,6,5,1,1072.0,0,18,23
2,1,10,0,1660.0,1,3,8
4,4,14,0,657.0,0,17,13
5,7,5,1,632.0,0,7,3
2,3,12,0,907.0,0,7,0
2,1,9,0,1030.0,0,16,17
7,2,7,0,1943.0,0,20,23
4,6,16,1,325.0,0,18,23
7,6,20,1,651.0,1,18,23
4,7,18,1,1057.0,1,19,23
2,3,22,0,387.0,0,17,29
2,3,19,0,261.0,0,15,23
7,5,6,1,667.0,0,20,23
7,3,10,0,634.0,0,18,23
2,4,9,0,1721.0,0,20,22
7,3,6,0,773.0,0,9,23
2,3,20,0,155.0,0,4,5
7,4,6,0,680.0,0,18,21
4,3,13,0,1587.0,1,7,25
7,3,17,0,413.0,1,3,23
5,5,17,1,343.0,0,0,23
7,7,15,1,352.0,0,17,27
4,1,15,0,1448.0,0,1,23
4,5,10,1,2415.0,0,1,27
2,6,9,1,228.0,0,13,27
2,4,19,0,2345.0,0,1,16
7,5,16,1,908.0,0,13,27
5,3,7,0,932.0,0,2,23
4,6,6,1,209.0,0,17,23
4,2,21,0,373.0,0,17,16
7,6,14,1,594.0,0,11,22
4,7,8,1,869.0,0,18,23
2,3,14,0,672.0,0,18,23
4,7,6,1,356.0,0,18,23
4,7,8,1,873.0,0,17,23
2,7,21,1,919.0,1,3,20
2,6,8,1,175.0,0,3,23
2,6,13,1,672.0,0,15,8
5,4,8,0,1504.0,0,17,1
5,1,13,0,602.0,0,18,7
5,6,16,1,191.0,0,5,23
4,7,13,1,677.0,0,18,23
5,3,13,0,271.0,1,7,23
7,4,17,0,1048.0,1,18,30
4,7,12,1,224.0,0,15,12
5,5,15,1,3417.0,0,7,0
4,6,23,1,2077.0,0,3,26
7,7,10,1,602.0,1,18,23
7,5,8,1,630.0,0,20,12
4,1,9,0,569.0,0,8,10
7,3,19,0,804.0,0,20,7
4,4,21,0,1042.0,1,7,21
2,2,14,0,213.0,1,9,23
5,4,7,0,1107.0,0,1,25
5,2,6,0,1514.0,0,20,15
5,5,11,1,942.0,0,18,3
5,2,10,0,261.0,0,3,25
4,5,18,1,562.0,0,5,5
5,7,13,1,370.0,0,5,23
7,7,14,1,601.0,1,18,25
4,7,18,1,1642.0,1,18,23
4,3,22,0,399.0,0,3,6
7,5,16,1,489.0,0,9,20
2,7,6,1,1262.0,0,18,25
2,5,7,1,1005.0,1,19,18
7,4,14,0,628.0,0,18,23
4,4,13,0,1158.0,0,16,6
2,5,16,1,756.0,0,18,2
5,1,13,0,733.0,0,3,22
5,5,14,1,363.0,0,10,23
5,2,10,0,721.0,1,3,8
7,3,15,0,2565.0,0,20,10
2,4,20,0,1096.0,1,3,20
4,1,13,0,763.0,0,0,23
4,3,12,0,935.0,0,18,23
2,4,16,0,309.0,0,15,8
5,1,14,0,231.0,1,18,15
7,3,6,0,255.0,0,3,15
7,3,10,0,543.0,0,18,23
2,2,18,0,646.0,0,18,23
7,6,6,1,674.0,0,17,23
7,3,17,0,1590.0,0,19,23
2,7,14,1,1874.0,1,20,23
4,7,10,1,944.0,1,14,14
5,1,16,0,130.0,1,3,23
4,5,16,1,821.0,1,7,23
5,7,14,1,1121.0,0,18,23
4,1,13,0,249.0,0,18,19
2,5,17,1,2422.0,1,7,14
4,4,19,0,951.0,0,3,24
4,7,6,1,139.0,0,17,23
4,2,17,0,522.0,0,17,23
7,1,21,0,859.0,0,10,23
5,4,7,0,994.0,0,18,18
4,6,5,1,1105.0,1,14,1
5,5,17,1,163.0,1,12,23
2,1,13,0,532.0,0,7,23
5,1,10,0,1979.0,0,3,6
5,4,15,0,1185.0,0,14,3
4,4,14,0,340.0,1,8,14
2,3,18,0,629.0,0,7,23
7,1,15,0,1035.0,0,7,23
4,7,13,1,534.0,0,7,0
5,5,17,1,411.0,0,17,23
7,7,7,1,386.0,0,17,23
5,2,23,0,363.0,0,20,28
5,4,20,0,147.0,0,9,22
4,4,22,0,2173.0,0,19,15
5,4,19,0,399.0,0,14,3
5,2,12,0,1610.0,0,10,23
7,7,22,1,236.0,0,17,16
